pctredmsy,pctredmey,ycostmsy,pcostmey,species
15.518150470764132,38.420122672947755,2.3023274349707545,0.023266023711832843,Loggerhead turtle (NW Atlantic)
15.4990218918382,38.33626163311531,1.8974055615498167,0.0,Loggerhead turtle (NW Atlantic)
17.33528639560004,39.697014253904264,1.5513162824449538,0.0,Loggerhead turtle (NW Atlantic)
0.8142533992243941,27.46725663183704,8.885220605509744,1.954718246022222,Loggerhead turtle (NW Atlantic)
2.305869003087177,28.685835892431886,7.120318305104316,0.9120844325508758,Loggerhead turtle (NW Atlantic)
18.492980808802834,40.50556284753008,0.4380546161664295,0.0,Loggerhead turtle (NW Atlantic)
2.273294329504127,28.58175332962445,1.3914825420730181,0.0,Loggerhead turtle (NW Atlantic)
21.777500336034425,42.9508448161149,3.5536934940500213,0.3016396584043959,Loggerhead turtle (NW Atlantic)
0.7160606335800368,27.474080550485205,3.1159522210594974,0.34894269791925014,Loggerhead turtle (NW Atlantic)
17.708162092439206,40.233438202692696,1.9144393825652295,0.0,Loggerhead turtle (NW Atlantic)
3.503617162862844,29.486786917458396,2.857437440747615,0.1762864747597693,Loggerhead turtle (NW Atlantic)
12.15036562518034,35.8870367462219,10.006403769684498,1.1269232821395527,Loggerhead turtle (NW Atlantic)
11.92785662389314,35.73118624614013,2.557173135466838,0.18141278441717365,Loggerhead turtle (NW Atlantic)
24.382423643408575,44.92274073585454,1.5504329152306455,0.0,Loggerhead turtle (NW Atlantic)
4.724384434049883,30.571905758786666,4.380474423762084,1.1420080125111607,Loggerhead turtle (NW Atlantic)
21.31527712297423,42.488615238771814,3.1638073230889887,0.19527109660190853,Loggerhead turtle (NW Atlantic)
17.54364772754713,39.805324345169076,1.594370598245926,0.0,Loggerhead turtle (NW Atlantic)
22.75199947641952,43.66492842093552,0.5385923696677086,0.0,Loggerhead turtle (NW Atlantic)
13.359732269915012,36.881096752952836,1.0838015222232071,0.0,Loggerhead turtle (NW Atlantic)
16.2927324803985,38.971372937119966,0.5802980480254594,0.0,Loggerhead turtle (NW Atlantic)
-18.296415971712534,13.363697523665696,1.812510492310914,0.13016672905121238,Loggerhead turtle (NW Atlantic)
9.157799227243096,33.62685900015486,0.35200925709496067,0.0,Loggerhead turtle (NW Atlantic)
16.658223497263986,39.125387200218086,0.30672503372040066,0.0,Loggerhead turtle (NW Atlantic)
11.77047572314877,35.559998156570835,0.14679404384662828,0.0,Loggerhead turtle (NW Atlantic)
17.547674523393518,39.759518051574716,0.35006543005079327,0.0,Loggerhead turtle (NW Atlantic)
16.41537759444511,38.99505615172361,4.351978634655041,0.2422651730370188,Loggerhead turtle (NW Atlantic)
19.95807392199744,41.50136659027721,0.40080179372131847,0.0,Loggerhead turtle (NW Atlantic)
9.973275191643115,34.273864240624654,0.22151264367022147,0.0,Loggerhead turtle (NW Atlantic)
7.866067712907388,32.822801203192,4.50388301708118,0.9121349291314582,Loggerhead turtle (NW Atlantic)
-9.525246177327347,19.945895489919547,0.8800744902445905,0.0,Loggerhead turtle (NW Atlantic)
-0.2680540574539386,26.74720048166569,1.9572484536111479,0.06760713416537649,Loggerhead turtle (NW Atlantic)
12.660163810921139,36.36522303406191,1.156187163295124,0.0,Loggerhead turtle (NW Atlantic)
4.2023252026484865,29.95336758086154,1.8805179506110696,0.08697608153684361,Loggerhead turtle (NW Atlantic)
15.227182221568178,38.26202892013559,0.018934130647087828,0.0,Loggerhead turtle (NW Atlantic)
10.472138274654876,34.577961449206,1.9031568898835303,0.0,Loggerhead turtle (NW Atlantic)
15.712245099620514,38.47928906216207,0.9499352987840205,0.0,Loggerhead turtle (NW Atlantic)
19.42649911549367,41.2515554273603,2.5562091697366105,0.1320172985896287,Loggerhead turtle (NW Atlantic)
14.115811169706266,37.20157723245061,0.4138697239189154,0.0,Loggerhead turtle (NW Atlantic)
2.9636500028798904,29.09616258400625,2.6368414852892483,0.11578674561494515,Loggerhead turtle (NW Atlantic)
0.22157859956827777,27.06280267033815,0.9170296447829556,0.0,Loggerhead turtle (NW Atlantic)
10.198015594554,34.447567324652844,2.0296906572427797,0.0,Loggerhead turtle (NW Atlantic)
13.849940126528555,37.149204053677394,1.566607942565363,0.0,Loggerhead turtle (NW Atlantic)
5.9689054211509145,31.185855747294603,3.1432546491970657,0.4156506549567256,Loggerhead turtle (NW Atlantic)
10.92996792597054,34.93711043166463,2.325409964110046,0.08273891542353205,Loggerhead turtle (NW Atlantic)
8.709532684887186,33.31062715119254,9.279059236870681,1.4241258176805331,Loggerhead turtle (NW Atlantic)
8.429537891641562,33.05773694855379,0.9957188514432801,0.0,Loggerhead turtle (NW Atlantic)
4.597898430412625,30.415670315712813,1.841139288237257,0.04410023742704803,Loggerhead turtle (NW Atlantic)
18.65053448061724,40.54440921989964,0.6037226523314798,0.0,Loggerhead turtle (NW Atlantic)
12.042868998359674,35.78409090329569,1.1236226554897053,0.0,Loggerhead turtle (NW Atlantic)
9.283078862578707,33.71070230846406,1.1265399077207152,0.0,Loggerhead turtle (NW Atlantic)
14.633132767832583,37.58920509740543,2.9603107209327564,0.2092589325359394,Loggerhead turtle (NW Atlantic)
18.823583480855305,40.803708042547,0.4233990765918308,0.0,Loggerhead turtle (NW Atlantic)
3.757137400476528,29.488502689363266,0.4934573087321749,0.0,Loggerhead turtle (NW Atlantic)
29.646611282959984,48.587363445144355,0.0,0.0,Loggerhead turtle (NW Atlantic)
21.21560260403593,42.50598154475782,0.0,0.0,Loggerhead turtle (NW Atlantic)
