"","Policy","IdOrig","Dbase","SciName","CommName","MSY","SpeciesCat","SpeciesCatName","BvBmsy","FvFmsy","current_b","current_f","b_mey","f_mey","current_b_mey","current_f_mey"
"115","Historic","GRP3-SARDMEDGSA17-1999-2011-BANOBI","RAM","Sardina pilchardus","Sardine Northern Adriatic Sea",51798.4771725,35,"Herrings, sardines, anchovies",2.50011387690351,0.249,2.50011387690351,0.249,1.35630034408334,0.686339554322344,1.84333351223413,0.362794186102023
"116","Historic","GRP6-PSHRMPMEDGSA6-2001-2011-BANOBI","RAM","Parapenaeus longirostris","Deep-water Rose Shrimp Northern Spain",167.3939029,45,"Shrimps, prawns",0.281,1.96,0.281,1.96,1.29787006831824,0.732779930409194,0.216508575749894,2.67474574379447
"117","Historic","HAWG-HERR2224IIIa-1991-2011-NEUBAUER","RAM","Clupea harengus","Herring ICES 22-24-IIIa",15920.9693164872,35,"Herrings, sardines, anchovies",1.49,1.21,1.49,1.21,1.29777133696768,0.732859826355218,1.14812213643235,1.65106607905877
"118","Historic","HAWG-HERRNIRS-1960-2010-NEUBAUER","RAM","Clupea harengus","Herring Northern Irish Sea",8811.4,35,"Herrings, sardines, anchovies",0.0711,1.54,0.0711,1.54,1.29495369518557,0.735142017494535,0.0549054381360032,2.0948333292777
"119","Historic","HAWG-HERRNS-1960-2011-NEUBAUER","RAM","Clupea harengus","Herring North Sea",177213.515896745,35,"Herrings, sardines, anchovies",1.35,0.47,1.35,0.47,1.29468113257943,0.735362997483065,1.04272779298974,0.639140127540649
"120","Historic","HAWG-HERRSIRS-1957-2010-NEUBAUER","RAM","Clupea harengus","Herring ICES VIIa-g-h-j",4256.69217629686,35,"Herrings, sardines, anchovies",2.50011387690351,0.338,2.50011387690351,0.338,1.29466308221786,0.735377633137779,1.93109227508104,0.459627794984448
"121","Historic","HAWG-HERRVIa-1956-2010-NEUBAUER","RAM","Clupea harengus","Herring ICES VIa",43046.4574884142,35,"Herrings, sardines, anchovies",1.78,1.06,1.78,1.06,1.296246047705,0.734094757165275,1.37319608661603,1.443955279143
"122","Historic","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","RAM","Clupea harengus","Herring ICES VIa-VIIb-VIIc",11740.814455694,35,"Herrings, sardines, anchovies",0.306,2.19,0.306,2.19,1.29619811279909,0.73413358616423,0.236075023546519,2.9831083079069
"123","Historic","IATTC-BIGEYEEPAC-1975-2011-BRANCH","RAM","Thunnus obesus","Bigeye tuna Eastern Pacific",80963,36,"Tunas, bonitos, billfishes",1.24,0.93,1.24,0.93,1.37046544560069,0.675326370744238,0.904802090399656,1.3771119273413
"124","Historic","IATTC-STMARLINNEPAC-1954-2009-BRANCH","RAM","Kajikia audax","Striped marlin Northeast Pacific",2596,36,"Tunas, bonitos, billfishes",1.52,0.0754,1.52,0.0754,1.37578346183443,0.671215539789933,1.10482502673297,0.112333513648384
"125","Historic","IATTC-SWORDEPAC-1950-2010-CHING","RAM","Xiphias gladius","Swordfish Eastern Pacific",20000,36,"Tunas, bonitos, billfishes",2.50011387690351,0.06,2.50011387690351,0.06,1.36893106098776,0.676514858871877,1.82632562599576,0.0886898479954351
"126","Historic","IATTC-YFINEPAC-1975-2011-BRANCH","RAM","Thunnus albacares","Yellowfin tuna Eastern Pacific",262857,36,"Tunas, bonitos, billfishes",0.713,1.13,0.713,1.13,1.37069439807438,0.675149123702207,0.520174300706019,1.67370431261704
"127","Historic","ICCAT-ALBAMED-1956-2011-CHING","RAM","Thunnus alalunga","Albacore tuna Mediterranean",28900,36,"Tunas, bonitos, billfishes",1.89,0.06,1.89,0.06,1.36976301078023,0.675870321439857,1.37980072839275,0.0887744262422671
"128","Historic","ICCAT-ALBANATL-1950-2010-CHING","RAM","Thunnus alalunga","Albacore tuna North Atlantic",29000,36,"Tunas, bonitos, billfishes",0.63,1.05,0.63,1.05,1.36792116101299,0.677297687388686,0.460552857836826,1.55027843672147
"129","Historic","ICCAT-ALBASATL-1956-2010-CHING","RAM","Thunnus alalunga","Albacore tuna South Atlantic",27964,36,"Tunas, bonitos, billfishes",0.9,0.750965527106279,0.9,0.750965527106279,1.36994304818182,0.675730882693525,0.656961616904056,1.11133817669079
"130","Historic","ICCAT-ATBTUNAEATL-1950-2010-CHING","RAM","Thunnus thynnus","Bluefin tuna Eastern Atlantic",50000,36,"Tunas, bonitos, billfishes",0.45,0.78,0.45,0.78,1.36698169072418,0.678026343468267,0.329192412051697,1.15039777954661
"131","Historic","ICCAT-ATBTUNAWATL-1950-2010-CHING","RAM","Thunnus thynnus","Bluefin tuna Western Atlantic",4457,36,"Tunas, bonitos, billfishes",0.41,0.45,0.41,0.45,1.36563047300396,0.679075065473492,0.30022762973217,0.662666062825077
"132","Historic","ICCAT-BIGEYEATL-1950-2010-CHING","RAM","Thunnus obesus","Bigeye tuna Atlantic",92000,36,"Tunas, bonitos, billfishes",1.01,0.95,1.01,0.95,1.3706308566904,0.675198312821407,0.736886956155945,1.40699403710044
