idorig,pctredfmsy,pctredfmey,weight
10051-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
10205-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
11726-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
12724-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
16269-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
3324-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
5802-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
740-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
7768-FAO-51-37,53.797123670208656,62.641091063259104,0.0067831504644901095
10065-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
10221-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
12751-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
13040-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
14918-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
16281-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
17623-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
3222-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
3334-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
5499-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
5813-FAO-51-37,43.12545276087461,54.01214953858096,0.08535924052905354
