"","idorig","commname","sciname","country","g","phi","k","msy","marginalcost","speciescat","speciescatname","regionfao","policy","beta","fvfmsy","bvbmsy","catch","price","idoriglumped","lumpedcatch2012","fmeyvfmsy","bmeyvbmsy","fcsvfmsy","bcsvbmsy"
"1","10051-FAO-51-37","Cobia","Rachycentron canadum","Oman",0.111423714424553,0.188,1346.03813475351,59.9894949253633,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,128,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"2","10205-FAO-51-37","Cobia","Rachycentron canadum","Pakistan",0.111423714424553,0.188,34145.2017464426,1521.76476580199,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,3247,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"3","11726-FAO-51-37","Cobia","Rachycentron canadum","Qatar",0.111423714424553,0.188,1293.4585201147,57.6461552798413,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,123,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"4","12724-FAO-51-37","Cobia","Rachycentron canadum","Saudi Arabia",0.111423714424553,0.188,1577.38843916427,70.3001893656602,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,150,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"5","16269-FAO-51-37","Cobia","Rachycentron canadum","United Arab Emirates",0.111423714424553,0.188,4942.48377604805,220.273926679068,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,470,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"6","3324-FAO-51-37","Cobia","Rachycentron canadum","Eritrea",0.111423714424553,0.188,63.0955375665708,2.81200757462641,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,6,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"7","5802-FAO-51-37","Cobia","Rachycentron canadum","Iran",0.111423714424553,0.188,26090.004783777,1162.76513210802,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,2481,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"8","740-FAO-51-37","Cobia","Rachycentron canadum","Bahrain",0.111423714424553,0.188,63.0955375665708,2.81200757462641,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,6,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"9","7768-FAO-51-37","Cobia","Rachycentron canadum","Kuwait",0.111423714424553,0.188,315.477687832854,14.060037873132,11383908.4821698,37,"Miscellaneous pelagic fishes","51","Historic",1.3,2.16436741483821,0.985833966025425,30,993.59553552,"Lumped-Cobia-FaoRegion51",6641,0.8085840515659,1.20689656275927,0.8085840515659,1.20689656275927
"10","10065-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Oman",0.108180800080512,0.188,173256.770522584,7496.88093316487,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,8596,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"11","10221-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Pakistan",0.108180800080512,0.188,414881.033554779,17952.0471298587,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,20584,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"12","12751-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Saudi Arabia",0.108180800080512,0.188,79211.157300344,3427.49442384108,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,3930,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"13","13040-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Seychelles",0.108180800080512,0.188,9452.93454805632,409.031777298083,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,469,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"14","14918-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","United Republic of Tanzania",0.108180800080512,0.188,83060.8598561622,3594.07239711173,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,4121,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"15","16281-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","United Arab Emirates",0.108180800080512,0.188,28620.8252840938,1238.43309970848,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,1420,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"16","17623-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Yemen",0.108180800080512,0.188,296447.252308768,12827.3760778256,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,14708,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"17","3222-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Egypt",0.108180800080512,0.188,43193.2595660654,1868.98741737696,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,2143,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"18","3334-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Eritrea",0.108180800080512,0.188,0,0,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,0,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"19","5499-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","India",0.108180800080512,0.188,974176.30172965,42152.948597331,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,48333,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"20","5813-FAO-51-37","Indian mackerel","Rastrelliger kanagurta","Iran",0.108180800080512,0.188,45793.32045455,1981.49295953357,195033755.849082,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.75825575506661,0.652129348759885,2272,548.53890764,"Lumped-Indian mackerel-FaoRegion51",106576,0.808584027369327,1.20689654218183,0.808584027369327,1.20689654218183
"21","10199-FAO-51-37","Black pomfret","Parastromateus niger","Pakistan",0.115303798784025,0.188,27485.0488067302,1267.59447497865,26636312.7097094,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.82883252994654,0.996455031155915,2310,1666.62523,"Lumped-Black pomfret-FaoRegion51",8272,0.808584112586804,1.2068964929728,0.808584112586804,1.2068964929728
"22","5797-FAO-51-37","Black pomfret","Parastromateus niger","Iran",0.115303798784025,0.188,70342.6876819866,3244.1638684302,26636312.7097094,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.82883252994654,0.996455031155915,5912,1666.62523,"Lumped-Black pomfret-FaoRegion51",8272,0.808584112586804,1.2068964929728,0.808584112586804,1.2068964929728
"23","7764-FAO-51-37","Black pomfret","Parastromateus niger","Kuwait",0.115303798784025,0.188,594.914476336152,27.4371098480226,26636312.7097094,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.82883252994654,0.996455031155915,50,1666.62523,"Lumped-Black pomfret-FaoRegion51",8272,0.808584112586804,1.2068964929728,0.808584112586804,1.2068964929728
"24","10206-FAO-51-37","Common dolphinfish","Coryphaena hippurus","Pakistan",0.105690393641556,0.188,32058.0099365238,1355.22774416682,13341802.1366805,37,"Miscellaneous pelagic fishes","51","Historic",1.3,4.77365049918005,0.375151660655687,2427,1413.5484696,"Lumped-Common dolphinfish-FaoRegion51",4287,0.808583588146554,1.20689639601829,0.808583588146554,1.20689639601829
"25","12483-FAO-51-37","Common dolphinfish","Coryphaena hippurus","Reunion",0.105690393641556,0.188,1202.01026132001,50.8140604528968,13341802.1366805,37,"Miscellaneous pelagic fishes","51","Historic",1.3,4.77365049918005,0.375151660655687,91,1413.5484696,"Lumped-Common dolphinfish-FaoRegion51",4287,0.808583588146554,1.20689639601829,0.808583588146554,1.20689639601829
"26","13310-FAO-51-37","Common dolphinfish","Coryphaena hippurus","South Africa",0.105690393641556,0.188,13.2089039705496,0.558396268713151,13341802.1366805,37,"Miscellaneous pelagic fishes","51","Historic",1.3,4.77365049918005,0.375151660655687,1,1413.5484696,"Lumped-Common dolphinfish-FaoRegion51",4287,0.808583588146554,1.20689639601829,0.808583588146554,1.20689639601829
"27","16270-FAO-51-37","Common dolphinfish","Coryphaena hippurus","United Arab Emirates",0.105690393641556,0.188,0,0,13341802.1366805,37,"Miscellaneous pelagic fishes","51","Historic",1.3,4.77365049918005,0.375151660655687,0,1413.5484696,"Lumped-Common dolphinfish-FaoRegion51",4287,0.808583588146554,1.20689639601829,0.808583588146554,1.20689639601829
"28","5803-FAO-51-37","Common dolphinfish","Coryphaena hippurus","Iran",0.105690393641556,0.188,23353.3422199316,987.244603084851,13341802.1366805,37,"Miscellaneous pelagic fishes","51","Historic",1.3,4.77365049918005,0.375151660655687,1768,1413.5484696,"Lumped-Common dolphinfish-FaoRegion51",4287,0.808583588146554,1.20689639601829,0.808583588146554,1.20689639601829
"29","10211-FAO-51-37","False trevally","Lactarius lactarius","Pakistan",0.111261690618284,0.188,0,0,19697449.2216819,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.67045149173708,0.821357858129252,0,993.59553552,"Lumped-False trevally-FaoRegion51",7375,NA,NA,NA,NA
"30","5481-FAO-51-37","False trevally","Lactarius lactarius","India",0.111261690618284,0.188,120784.129982794,5375.21375561839,19697449.2216819,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.67045149173708,0.821357858129252,7375,993.59553552,"Lumped-False trevally-FaoRegion51",7375,0.808584150054544,1.20689644161366,0.808584150054544,1.20689644161366
"31","10251-FAO-51-37","Torpedo scad","Megalaspis cordyla","Pakistan",0.108189968558952,0.188,70014.1068196688,3029.79159688711,11531351.5019072,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.88353383568473,0.587728668273136,3354,993.59553552,"Lumped-Torpedo scad-FaoRegion51",3359,0.808584014968467,1.20689653576324,0.808584014968467,1.20689653576324
"32","12816-FAO-51-37","Torpedo scad","Megalaspis cordyla","Saudi Arabia",0.108189968558952,0.188,104.374041174223,4.51668395481083,11531351.5019072,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.88353383568473,0.587728668273136,5,993.59553552,"Lumped-Torpedo scad-FaoRegion51",3359,0.808584014968467,1.20689653576324,0.808584014968467,1.20689653576324
"33","16311-FAO-51-37","Torpedo scad","Megalaspis cordyla","United Arab Emirates",0.108189968558952,0.188,0,0,11531351.5019072,37,"Miscellaneous pelagic fishes","51","Historic",1.3,1.88353383568473,0.587728668273136,0,993.59553552,"Lumped-Torpedo scad-FaoRegion51",3359,NA,NA,NA,NA
"34","11729-FAO-51-37","Flat needlefish","Ablennes hians","Qatar",0.0406370640923196,0.188,340.405671185379,5.53298279936037,75097.2269152006,37,"Miscellaneous pelagic fishes","51","Historic",1.3,4.07248052914488,0.399414817909663,9,993.59553552,"Lumped-Flat needlefish-FaoRegion51",9,0.782940687029791,1.18672448523036,0.782940687029791,1.18672448523036
