dbase,idorig,idoriglumped,commname,sciname,country,speciescat,speciescatname,regionfao,k,fvfmsy,g,beta,phi,price,eqfvfmey,fmeyvfmsy,curr_f,f_mey,pctredfmsy,pctredfmey,fconmsy,fconmey,pctredfmsycon,pctredfmeycon,marginalcost
FAO,10051-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Oman,37,Miscellaneous pelagic fishes,51,1346.038,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,224677.82168793678
FAO,10205-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Pakistan,37,Miscellaneous pelagic fishes,51,34145.202,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,5699445.042750001
FAO,11726-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Qatar,37,Miscellaneous pelagic fishes,51,1293.459,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,215901.4459939003
FAO,12724-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Saudi Arabia,37,Miscellaneous pelagic fishes,51,1577.388,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,263294.27534484863
FAO,16269-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,United Arab Emirates,37,Miscellaneous pelagic fishes,51,4942.484,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,824988.9964822531
FAO,3324-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Eritrea,37,Miscellaneous pelagic fishes,51,63.096,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,10531.851134300232
FAO,5802-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Iran,37,Miscellaneous pelagic fishes,51,26090.005,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,4354888.562749386
FAO,740-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Bahrain,37,Miscellaneous pelagic fishes,51,63.096,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,10531.851134300232
FAO,7768-FAO-51-37,Lumped-Cobia-FaoRegion51,Cobia,Rachycentron canadum,Kuwait,37,Miscellaneous pelagic fishes,51,315.478,2.164,0.111,1.3,0.188,993.596,2.67673769514435,0.808584053179513,0.24020400000000003,0.08975282990292595,53.789279112754166,62.64109098870547,0.111,0.08975282990292595,53.789279112754166,62.63474800464358,52658.92183589935
FAO,10065-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Oman,37,Miscellaneous pelagic fishes,51,173256.771,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,16097577.51051259
FAO,10221-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Pakistan,37,Miscellaneous pelagic fishes,51,414881.034,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,38547293.4991771
FAO,12751-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Saudi Arabia,37,Miscellaneous pelagic fishes,51,79211.157,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,7359641.600990653
FAO,13040-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Seychelles,37,Miscellaneous pelagic fishes,51,9452.935,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,878288.0633529425
FAO,14918-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,United Republic of Tanzania,37,Miscellaneous pelagic fishes,51,83060.86,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,7717323.9707894325
FAO,16281-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,United Arab Emirates,37,Miscellaneous pelagic fishes,51,28620.825,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,2659208.9082182646
FAO,17623-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Yemen,37,Miscellaneous pelagic fishes,51,296447.252,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,27543411.95039642
FAO,3222-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Egypt,37,Miscellaneous pelagic fishes,51,43193.26,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,4013158.312766552
FAO,3334-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Eritrea,37,Miscellaneous pelagic fishes,51,0,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,NA
FAO,5499-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,India,37,Miscellaneous pelagic fishes,51,974176.302,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,90512355.96644998
FAO,5813-FAO-51-37,Lumped-Indian mackerel-FaoRegion51,Indian mackerel,Rastrelliger kanagurta,Iran,37,Miscellaneous pelagic fishes,51,45793.32,1.758,0.108,1.3,0.188,548.539,2.1744872828626,0.808584059756817,0.189864,0.08732707845373623,43.117178612059156,54.01214769655716,0.108,0.08732707845373623,43.117178612059156,54.00545735171689,4254734.253149033
FAO,10199-FAO-51-37,Lumped-Black pomfret-FaoRegion51,Black pomfret,Parastromateus niger,Pakistan,37,Miscellaneous pelagic fishes,51,27485.049,1.829,0.115,1.3,0.188,1666.625,2.26177155222355,0.808584106625895,0.210335,0.09298717226197793,45.32531437944232,55.786869853549135,0.115,0.09298717226197793,45.32531437944232,55.7909181724497,7614034.681515813
FAO,5797-FAO-51-37,Lumped-Black pomfret-FaoRegion51,Black pomfret,Parastromateus niger,Iran,37,Miscellaneous pelagic fishes,51,70342.688,1.829,0.115,1.3,0.188,1666.625,2.26177155222355,0.808584106625895,0.210335,0.09298717226197793,45.32531437944232,55.786869853549135,0.115,0.09298717226197793,45.32531437944232,55.7909181724497,19486654.945495725
FAO,7764-FAO-51-37,Lumped-Black pomfret-FaoRegion51,Black pomfret,Parastromateus niger,Kuwait,37,Miscellaneous pelagic fishes,51,594.914,1.829,0.115,1.3,0.188,1666.625,2.26177155222355,0.808584106625895,0.210335,0.09298717226197793,45.32531437944232,55.786869853549135,0.115,0.09298717226197793,45.32531437944232,55.7909181724497,164805.8123716116
FAO,10206-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,Common dolphinfish,Coryphaena hippurus,Pakistan,37,Miscellaneous pelagic fishes,51,32058.01,4.774,0.106,1.3,0.188,1413.548,5.90371600411884,0.808584033488336,0.5060439999999999,0.08570990754976361,79.05320485965647,83.06151584354107,0.106,0.08570990754976361,79.05320485965646,83.06275589676714,7718721.2734030485
FAO,12483-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,Common dolphinfish,Coryphaena hippurus,Reunion,37,Miscellaneous pelagic fishes,51,1202.01,4.774,0.106,1.3,0.188,1413.548,5.90371600411884,0.808584033488336,0.5060439999999999,0.08570990754976361,79.05320485965647,83.06151584354107,0.106,0.08570990754976361,79.05320485965646,83.06275589676714,289412.2298246622
FAO,13310-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,Common dolphinfish,Coryphaena hippurus,South Africa,37,Miscellaneous pelagic fishes,51,13.209,4.774,0.106,1.3,0.188,1413.548,5.90371600411884,0.808584033488336,0.5060439999999999,0.08570990754976361,79.05320485965647,83.06151584354107,0.106,0.08570990754976361,79.05320485965646,83.06275589676714,3180.377986550331
FAO,16270-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,Common dolphinfish,Coryphaena hippurus,United Arab Emirates,37,Miscellaneous pelagic fishes,51,0,4.774,0.106,1.3,0.188,1413.548,5.90371600411884,0.808584033488336,0.5060439999999999,0.08570990754976361,79.05320485965647,83.06151584354107,0.106,0.08570990754976361,79.05320485965646,83.06275589676714,NA
FAO,5803-FAO-51-37,Lumped-Common dolphinfish-FaoRegion51,Common dolphinfish,Coryphaena hippurus,Iran,37,Miscellaneous pelagic fishes,51,23353.342,4.774,0.106,1.3,0.188,1413.548,5.90371600411884,0.808584033488336,0.5060439999999999,0.08570990754976361,79.05320485965647,83.06151584354107,0.106,0.08570990754976361,79.05320485965646,83.06275589676714,5622867.348923206
FAO,10211-FAO-51-37,Lumped-False trevally-FaoRegion51,False trevally,Lactarius lactarius,Pakistan,37,Miscellaneous pelagic fishes,51,0,1.67,0.111,1.3,0.188,993.596,2.06589692203951,0.808584142759631,0.18537,0.08975283984631904,40.11976047904191,51.59487439417971,0.111,0.08975283984631904,40.11976047904192,51.58178785870473,NA
FAO,5481-FAO-51-37,Lumped-False trevally-FaoRegion51,False trevally,Lactarius lactarius,India,37,Miscellaneous pelagic fishes,51,120784.13,1.67,0.111,1.3,0.188,993.596,2.06589692203951,0.808584142759631,0.18537,0.08975283984631904,40.11976047904191,51.59487439417971,0.111,0.08975283984631904,40.11976047904192,51.58178785870473,20161020.502796292
FAO,10251-FAO-51-37,Lumped-Torpedo scad-FaoRegion51,Torpedo scad,Megalaspis cordyla,Pakistan,37,Miscellaneous pelagic fishes,51,70014.107,1.884,0.108,1.3,0.188,993.596,2.32942241689114,0.808584060163079,0.203472,0.08732707849761254,46.92144373673036,57.07090338150839,0.108,0.08732707849761254,46.92144373673036,57.08152546905101,11783062.616569161
FAO,12816-FAO-51-37,Lumped-Torpedo scad-FaoRegion51,Torpedo scad,Megalaspis cordyla,Saudi Arabia,37,Miscellaneous pelagic fishes,51,104.374,1.884,0.108,1.3,0.188,993.596,2.32942241689114,0.808584060163079,0.203472,0.08732707849761254,46.92144373673036,57.07090338150839,0.108,0.08732707849761254,46.92144373673036,57.08152546905101,17565.679692864418
FAO,16311-FAO-51-37,Lumped-Torpedo scad-FaoRegion51,Torpedo scad,Megalaspis cordyla,United Arab Emirates,37,Miscellaneous pelagic fishes,51,0,1.884,0.108,1.3,0.188,993.596,2.32942241689114,0.808584060163079,0.203472,0.08732707849761254,46.92144373673036,57.07090338150839,0.108,0.08732707849761254,46.92144373673036,57.08152546905101,NA
FAO,11729-FAO-51-37,Lumped-Flat needlefish-FaoRegion51,Flat needlefish,Ablennes hians,Qatar,37,Miscellaneous pelagic fishes,51,340.406,4.072,0.041,1.3,0.188,993.596,5.01058302816407,0.81277578003474,0.16695200000000002,0.03332380698142434,75.44204322200393,80.0422427015163,0.041,0.03332380698142434,75.44204322200393,80.0398875237048,74566.65648794174
FAO,11731-FAO-51-37,Lumped-Giant trevally-FaoRegion51,Giant trevally,Caranx ignobilis,Qatar,37,Miscellaneous pelagic fishes,51,7321.074,2.126,0.041,1.3,0.188,993.596,2.61612713864274,0.812602017716668,0.087166,0.033316682726383384,52.96331138287864,61.77555802892649,0.041,0.033316682726383384,52.96331138287864,61.77789192301656,1605506.9524085522
FAO,12737-FAO-51-37,Lumped-Giant trevally-FaoRegion51,Giant trevally,Caranx ignobilis,Saudi Arabia,37,Miscellaneous pelagic fishes,51,1490.13,2.126,0.041,1.3,0.188,993.596,2.61612713864274,0.812602017716668,0.087166,0.033316682726383384,52.96331138287864,61.77555802892649,0.041,0.033316682726383384,52.96331138287864,61.77789192301656,326784.57764434814
FAO,5808-FAO-51-37,Lumped-Giant trevally-FaoRegion51,Giant trevally,Caranx ignobilis,Iran,37,Miscellaneous pelagic fishes,51,296687.072,2.126,0.041,1.3,0.188,993.596,2.61612713864274,0.812602017716668,0.087166,0.033316682726383384,52.96331138287864,61.77555802892649,0.041,0.033316682726383384,52.96331138287864,61.77789192301656,65063289.45530236
FAO,11733-FAO-51-37,Lumped-Golden trevally-FaoRegion51,Golden trevally,Gnathanodon speciosus,Qatar,37,Miscellaneous pelagic fishes,51,3181.73,2.661,0.109,1.3,0.188,993.596,3.29032880271314,0.808584059596252,0.290049,0.08813566249599147,62.420142803457345,69.60790060934276,0.109,0.08813566249599147,62.420142803457345,69.61352650897211,533992.4704784155
FAO,12738-FAO-51-37,Lumped-Golden trevally-FaoRegion51,Golden trevally,Gnathanodon speciosus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,10984.544,2.661,0.109,1.3,0.188,993.596,3.29032880271314,0.808584059596252,0.290049,0.08813566249599147,62.420142803457345,69.60790060934276,0.109,0.08813566249599147,62.420142803457345,69.61352650897211,1843545.4258025885
FAO,16275-FAO-51-37,Lumped-Golden trevally-FaoRegion51,Golden trevally,Gnathanodon speciosus,United Arab Emirates,37,Miscellaneous pelagic fishes,51,7386.159,2.661,0.109,1.3,0.188,993.596,3.29032880271314,0.808584059596252,0.290049,0.08813566249599147,62.420142803457345,69.60790060934276,0.109,0.08813566249599147,62.420142803457345,69.61352650897211,1239625.3898843527
FAO,747-FAO-51-37,Lumped-Golden trevally-FaoRegion51,Golden trevally,Gnathanodon speciosus,Bahrain,37,Miscellaneous pelagic fishes,51,1079.516,2.661,0.109,1.3,0.188,993.596,3.29032880271314,0.808584059596252,0.290049,0.08813566249599147,62.420142803457345,69.60790060934276,0.109,0.08813566249599147,62.420142803457345,69.61352650897211,181176.09469103813
FAO,11740-FAO-51-37,Lumped-Malabar trevally-FaoRegion51,Malabar trevally,Carangoides malabaricus,Qatar,37,Miscellaneous pelagic fishes,51,5965.405,3.649,0.041,1.3,0.188,993.596,4.48310291629041,0.813864549628038,0.14960900000000002,0.03336844653474956,72.59523157029324,77.69402088972205,0.041,0.03336844653474956,72.59523157029324,77.69623048429602,1297505.2251300812
FAO,12761-FAO-51-37,Lumped-Malabar trevally-FaoRegion51,Malabar trevally,Carangoides malabaricus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,2112.748,3.649,0.041,1.3,0.188,993.596,4.48310291629041,0.813864549628038,0.14960900000000002,0.03336844653474956,72.59523157029324,77.69402088972205,0.041,0.03336844653474956,72.59523157029324,77.69623048429602,459533.18666279316
FAO,12709-FAO-51-37,Lumped-Bigeye trevally-FaoRegion51,Bigeye trevally,Caranx sexfasciatus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,2978.943,2.82,0.042,1.3,0.188,993.596,3.46951129756253,0.812921693796685,0.11844,0.03414271113946077,64.53900709219857,71.17749693731967,0.042,0.03414271113946077,64.53900709219857,71.17298958167784,647229.5410026312
FAO,12716-FAO-51-37,Lumped-Bluefin trevally-FaoRegion51,Bluefin trevally,Caranx melampygus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,395.825,8.333,0.042,1.3,0.188,993.596,10.2572489449453,0.812379823106014,0.349986,0.03411995257045259,87.99951998079923,90.2507972130988,0.042,0.03411995257045259,87.99951998079923,90.25105216481442,86303.20682120323
FAO,12731-FAO-51-37,Lumped-Doublespotted queenfish-FaoRegion51,Doublespotted queenfish,Scomberoides lysan,Saudi Arabia,37,Miscellaneous pelagic fishes,51,114.313,32.502,0.043,1.3,0.188,993.596,39.959079895596,0.81337270776158,1.397586,0.03497502643374794,96.92326626053782,97.49743987445963,0.043,0.03497502643374794,96.92326626053782,97.49746874727224,24589.620178699493
FAO,12741-FAO-51-37,Lumped-Great barracuda-FaoRegion51,Great barracuda,Sphyraena barracuda,Saudi Arabia,37,Miscellaneous pelagic fishes,51,30313.247,8.782,0.013,1.3,0.188,993.596,10.4527388107744,0.840160765024814,0.11416599999999999,0.010922089945322582,88.6130721931223,90.43312936348102,0.013,0.010922089945322582,88.6130721931223,90.4331500224913,7753250.058016539
