species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pctredmsy,-318.0568526668121,5.987236170048561,56.927764010761706,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,ycostmsy,0,21.700949645697836,77.82664458537599,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,pcostmey,0,0.0053286820476442865,30.91274640479888,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,pctredmey,-88.64790040376994,39.55804618726216,75.07404515599401,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,pctredmsy,-263.98804619077276,14.71933330360045,60.35938766555755,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific humpback dolphin,mammal,cetacean,Indo-Pacific,38.46153846,ycostmsy,0,1.3508549061542579,58.08875995242884,dolphin,-0.025,-0.045,-0.005,0.065,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pcostmey,0,0,0.2005420344733077,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pctredmey,39.47523117258952,68.99857360516623,90.55804909101924,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pctredmsy,23.899938313724903,56.37875552710935,82.82198771793252,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,ycostmsy,0,0,0.38957778440750884,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pcostmey,0,0.8696875619002952,26.275726002186236,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pctredmey,-53.67781203408786,0.9836006020544364,11.109147232312008,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pctredmsy,-148.8583757947672,-29.070718827940546,-7.707546066564042,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,ycostmsy,0,3.909694910198458,28.466378241463588,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pcostmey,0,0.08245820294571114,100,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pctredmey,5.691725930736114,49.77405579183282,82.44196057537647,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pctredmsy,-70.70377759209245,30.70588685278996,68.34402411182222,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,ycostmsy,0,0.6224927893473757,100,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pcostmey,0,0,1.0169808636703122,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pctredmey,-25.27497863663514,24.106690417347263,42.557518735812636,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,pctredmsy,-116.24399998011127,-2.5968947670073304,23.9737620019832,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Atlantic),turtle,turtle,NW Atlantic,15.33546326,ycostmsy,0,0.2916459288665557,5.055588169905384,turtle,-0.0096,-0.0322,0.013,0.0626,NA,NA,0.053,0.021,0.085,3,LC,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pcostmey,0,0.0042650933986309175,100,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pctredmey,-33.37033141277381,41.61324982904839,79.32389957849584,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,pctredmsy,-163.1835637697848,18.953465852598903,63.56371541798144,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,44.21052632,ycostmsy,0,0.9000131610567699,100,turtle,-0.042,-0.173,0.089,0.095,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pcostmey,0,0,100,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pctredmey,27.181745814193306,57.04821868257802,83.86711358389674,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,pctredmsy,3.6472917175326938,39.89720036382877,72.03342046416722,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,45.91836735,ycostmsy,0,0.012361554011493234,100,turtle,-0.045,-0.115,0.025,0.098,NA,NA,0.053,-0.025,0.131,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pcostmey,4.8601522797216985,37.629735577941545,70.71719911142054,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pctredmey,-118.4962949115243,-31.97992416974313,-4.373697454534555,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,pctredmsy,-258.8930660122942,-72.30631245428185,-22.899697078597953,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Māui dolphin,mammal,cetacean,New Zealand,67.63285024,ycostmsy,12.583990586829428,49.804315872928015,80.34527446038834,dolphin,-0.07,-0.135,-0.005,0.1035,NA,NA,0.0335,0.018,0.049,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pcostmey,0,14.70498890630966,63.97177118395098,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmey,-148.6804083023088,28.930178407581053,67.4138442006351,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmsy,-378.4350394574144,2.219848430364385,50.23365673113523,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,ycostmsy,0.005816178654071845,29.867684036821032,74.88876392304327,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pcostmey,7.21237243227658,51.30760918642932,100,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pctredmey,-1273.068143878985,-125.5796281689144,-20.3476423773652,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pctredmsy,-2194.853290648085,-205.77178987672647,-43.67387764074752,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,ycostmsy,19.778367513940786,63.98853584343383,100,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pcostmey,0,0,100,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pctredmey,22.810980005525387,59.85979783266997,92.04254545150455,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pctredmsy,-0.11200442148065282,45.286629697192865,85.69138658156841,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,ycostmsy,0,0,100,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,pcostmey,0,100,100,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,pctredmey,1.0274167924759556,48.83609357179088,80.21413076922528,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,pctredmsy,-68.24730108061127,28.92900243387259,65.88082650526617,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.5714286,ycostmsy,0.0025653561037700776,100,100,turtle,-0.18,-0.366,0.006,0.14,NA,NA,-0.04,-0.118,0.038,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Sooty shearwater,bird,bird,"Atlantic, Pacific, S Indian Ocean, S Ocean",30.90909091,pcostmey,0,0.28375454086946245,45.00253109785305,bird,-0.017,-0.021,-0.013,0.055,NA,NA,0.038,0.004,0.072,3,NT,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
