species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,ycostmsy,0,3.783212014580977e-4,0.079592729061021,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pcostmey,0,0,0,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pctredmey,61.3683568388389,64.18932607887689,66.81008234009758,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pctredmsy,50.34708932152277,53.04905833678646,55.747311609469584,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,ycostmsy,0,0,0,turtle,0.964,-0.036,0.083,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,110.1,pcostmey,32.75304595469563,38.42375358164381,43.01576859673253,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,110.1,pctredmey,-40.57389087242836,-29.295908304674953,-17.19347886862619,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,110.1,pctredmsy,-43.14880980646325,-32.854553893071184,-21.726649696768483,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,110.1,ycostmsy,42.29050005174517,48.06316717348628,52.578839992471046,dolphin,0.96,-0.04,0.06,CR
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pcostmey,0.016477823047322697,0.26250819223339505,1.9684277498720348,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pctredmey,43.60914353300719,52.80377199608812,57.262074643904405,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pctredmsy,26.742452825125028,39.782704628873056,44.43573481473292,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,ycostmsy,1.4196290504104778,2.7854350144825375,6.05112747140077,porpoise,0.943,-0.057,0.097,VU
NZ sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pcostmey,63.89782605194381,66.1094862860923,67.92570701465621,pinniped,0.96,-0.04,0.067,CR
NZ sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pctredmey,-151.069331773873,-135.04644786099075,-124.05706813381633,pinniped,0.96,-0.04,0.067,CR
NZ sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pctredmsy,-155.13946955403856,-138.8521886056791,-128.00059795858624,pinniped,0.96,-0.04,0.067,CR
NZ sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,ycostmsy,71.85225219531517,74.2075963317141,76.09628995939683,pinniped,0.96,-0.04,0.067,CR
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,pcostmey,0,0,0,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,pctredmey,60.03356261328872,62.95718951859916,65.40901518926543,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,pctredmsy,44.174352811833145,48.74976731226289,52.50653006506202,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,ycostmsy,0,0,0,turtle,0.97,-0.03,0.078,VU
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.6,77.1,214.3,pcostmey,100,100,100,turtle,0.82,-0.18,0.14,VU
Olive ridley turtle (W Indian),turtle,turtle,W Indian Ocean,128.6,77.1,214.3,pctredmey,47.886213007312904,55.84065120391759,62.44195371523017,turtle,0.82,-0.18,0.14,VU
