species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,pctredmsy,-0.7521839027233999,13.235997930606725,24.530923468339495,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (NW Indian),turtle,turtle,NW Indian Ocean,47.2,28.3,78.7,ycostmsy,1.5118523806620974,3.5942181556622628,7.0004405036105375,turtle,0.958,-0.042,0.089,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pcostmey,0,0,0.0022770843045669805,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pctredmey,41.044719972503195,50.42657614625227,58.31163094538544,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,pctredmsy,15.515029450368724,29.804093390559167,41.63702417313383,turtle,0.964,-0.036,0.083,CR
Loggerhead turtle (S Pacific),turtle,turtle,S Pacific,43.4,26,72.3,ycostmsy,5.083214874702115e-4,0.027317725702587933,0.10769736584028894,turtle,0.964,-0.036,0.083,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,pcostmey,34.44417697296943,39.571654533770456,44.06520154448755,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,pctredmey,-43.66777911476241,-32.890034583948776,-21.964271809640493,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,pctredmsy,-88.3985803615304,-74.3716928137841,-59.950167045962075,dolphin,0.96,-0.04,0.06,CR
Māui dolphin,mammal,cetacean,New Zealand,66.7,40,111.1,ycostmsy,46.395192945803736,50.94589582592182,55.393534397609514,dolphin,0.96,-0.04,0.06,CR
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pcostmey,0.9820232391542106,7.40594264571442,18.943194892630622,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pctredmey,11.0955993021782,31.754478800423872,48.32422703552534,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,pctredmsy,-28.25672022545882,2.7399402763942304,27.081886415212384,porpoise,0.943,-0.057,0.097,VU
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,58.7,35.2,97.9,ycostmsy,7.659365824260927,20.250475981591244,34.8721693002314,porpoise,0.943,-0.057,0.097,VU
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pcostmey,65.88317806529838,67.90727744886888,69.80154345032389,pinniped,0.96,-0.04,0.067,CR
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pctredmey,-160.7382890963646,-144.1635795725154,-133.21602085568793,pinniped,0.96,-0.04,0.067,CR
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,pctredmsy,-252.31826263825957,-229.81403636826644,-215.2493065757148,pinniped,0.96,-0.04,0.067,CR
New Zealand sea lion,mammal,pinniped,New Zealand,59.7,35.8,99.5,ycostmsy,75.11814739338874,77.09907476458426,78.83848886753856,pinniped,0.96,-0.04,0.067,CR
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.5,23.1,64.1,pcostmey,0,0,0,turtle,0.97,-0.03,0.078,VU
