species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Australian sea lion,mammal,pinniped,Australia,47.33333333,pcostmey,0,2.669340860916134,100,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,pctredmey,21.212824602185844,25.464516077634478,29.36093346047219,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,pctredmsy,-13.948150079405599,-8.070132853046516,-2.7126347627913594,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Australian sea lion,mammal,pinniped,Australia,47.33333333,ycostmsy,0,12.39091949710727,100,pinniped,-0.0142,-0.033,0.0046,0.03,0.02,0.04,0.0158,NA,NA,4,EN,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pcostmey,1.1582119846849828,23.004255219727092,74.27450677839708,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pctredmey,-41.85592089751598,-29.19477780573178,-17.277063284148852,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,pctredmsy,-86.22920952721763,-69.43837158059543,-53.76236558821222,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Hector's dolphin,mammal,cetacean,New Zealand,50.37037037,ycostmsy,5.934020636414303,34.46324068224919,81.01673318227466,dolphin,-0.034,-0.051,-0.017,0.0675,NA,NA,0.0335,0.018,0.049,1,EN,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pcostmey,0,5.0524196435136375,100,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Indo-Pacific finless porpoise,mammal,cetacean,Indo-Pacific,63.80090498,pctredmey,17.964900485946902,36.390775613502996,51.51963146884389,porpoise,-0.0705,-0.133,-0.008,0.1105,NA,NA,0.04,0.008,0.072,5,VU,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
