species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pctredmey,46.6167568229052,48.80800323710801,50.68770479530484,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,pctredmsy,37.054536806422284,39.59984384162781,41.73322115769036,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (E Pacific),turtle,turtle,E Pacific,46.10778443,ycostmsy,0,0.018737277206102042,0.6377585001810105,turtle,-0.154,NA,NA,0.334,0.236,0.432,0.18,0.102,0.258,2,CR,"Fe normal, Delta_n normal","Bounds on Fe and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pcostmey,0,0.03861530153951063,33.31299890265118,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pctredmey,0.008992832563059171,4.247284281979271,8.73855942298234,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,pctredmsy,-14.623287298579,-9.901724776595437,-4.889854990517796,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (SW Indian),turtle,turtle,SW Indian Ocean,9.090909091,ycostmsy,0,1.9388625611099048,36.220665623436616,turtle,-0.001,-0.025,0.023,0.011,NA,NA,0.01,0.0056,0.0144,3,CR,"Delta normal, Delta_n normal","Bounds on delta and deltan, where both represent 95% CIs that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pcostmey,0,1.4812549520254081,100,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pctredmey,31.40558175123361,35.759847543513736,39.57209614227038,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Leatherback turtle (W Pacific),turtle,turtle,W Pacific,57.70750988,pctredmsy,18.408383922679835,23.823983266341504,28.55823884409663,turtle,-0.073,-0.174,0.028,0.1265,NA,NA,0.0535,-0.025,0.132,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
