species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,63.63636364,pctredmsy,-2.0736889718380187,8.327777440101496,16.793242105162058,dolphin,-0.07,-0.135,-0.005,0.11,NA,NA,0.04,0.008,0.072,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Taiwanese humpback dolphin,mammal,cetacean,NW Pacific,63.63636364,ycostmsy,0.4140090329863032,29.247667013741115,69.49268643818736,dolphin,-0.07,-0.135,-0.005,0.11,NA,NA,0.04,0.008,0.072,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,pcostmey,92.61123693551181,100,100,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,pctredmey,13.417647266382806,16.462405634780374,19.463214752230343,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,pctredmsy,-5.293728720363823,-1.5813666425391901,2.0846361661535435,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Tristan albatross,bird,bird,S Atlantic,128.125,ycostmsy,95.90442019076289,100,100,bird,-0.041,-0.053,-0.029,0.032,NA,NA,-0.009,-0.021,0.003,5,CR,"Delta  uniform, Delta_n uniform","Bounds on delta and deltan, where both should be uniform distributions extending the full range of the CI given."
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,pcostmey,82.5154714704657,86.31549681370286,95.38622764609767,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,pctredmey,-5.5581482300625735,-4.587748197591992,-3.7912905123712486,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,pctredmsy,-9.987241983735732,-8.861466665391522,-7.950527651910747,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,90.69767442,ycostmsy,8.973351317355185,27.794197538387202,72.15363035654474,porpoise,-0.39,-0.52,-0.26,0.43,NA,NA,0.04,0.008,0.072,1,CR,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.69230769,pcostmey,0,0.6247515551186675,26.40881802709421,bird,-0.036,-0.087,0.015,0.13,NA,NA,0.094,0.06,0.128,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.69230769,pctredmey,18.299773952850746,22.78288668070946,26.513756878178544,bird,-0.036,-0.087,0.015,0.13,NA,NA,0.094,0.06,0.128,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.69230769,pctredmsy,1.8576997910752946,7.146322117890646,11.65291133495721,bird,-0.036,-0.087,0.015,0.13,NA,NA,0.094,0.06,0.128,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.69230769,ycostmsy,0,5.14495109454048,25.233776835871478,bird,-0.036,-0.087,0.015,0.13,NA,NA,0.094,0.06,0.128,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
