pctredmsy,pctredmey,ycostmsy,pcostmey,pctT,species
36.61487357347273,44.82340011026516,0,0,-7.3859454388553045,Loggerhead turtle (NW Atlantic)
35.53239944214412,44.99364905219885,0,0,1.4678743013651372,Loggerhead turtle (NW Atlantic)
36.828761976822264,45.995435804295276,0,0,9.108251877766307,Loggerhead turtle (NW Atlantic)
41.522726970492414,50.50896052605545,0,0,18.461681861686692,Loggerhead turtle (NW Atlantic)
35.47939584044657,44.99392651327644,0,0,12.02008250976883,Loggerhead turtle (NW Atlantic)
36.40736292858332,44.86739650146079,0,0,-16.717286785251602,Loggerhead turtle (NW Atlantic)
37.734965938814135,46.781722454681734,0,0,16.312502337287185,Loggerhead turtle (NW Atlantic)
37.51059414472269,46.70695993986386,0,0,30.93798645787332,Loggerhead turtle (NW Atlantic)
39.449351018352814,48.13719951804792,0,0,35.121665099971786,Loggerhead turtle (NW Atlantic)
38.48336619205222,46.89762116035948,0,0,4.969773329309317,Loggerhead turtle (NW Atlantic)
34.905241866963934,44.474829934084724,0,0,3.7408627860252146,Loggerhead turtle (NW Atlantic)
35.813724713609886,44.407192302368344,0,0,29.788908970489107,Loggerhead turtle (NW Atlantic)
35.69848403879171,45.30422328531186,0,0,25.800810880779814,Loggerhead turtle (NW Atlantic)
36.03348851077857,44.99738914100421,0,0,-6.8895845411853145,Loggerhead turtle (NW Atlantic)
38.65062126601359,48.010346979221865,0,0,27.49461138925425,Loggerhead turtle (NW Atlantic)
33.503161831890125,41.66510940466685,0,0,18.742143304752247,Loggerhead turtle (NW Atlantic)
39.602253487911156,48.82085316516187,17.731143924496877,13.33715055758018,77.41968896867441,Loggerhead turtle (NW Atlantic)
36.16030036766334,44.97994129522098,0,0,5.100786731473384,Loggerhead turtle (NW Atlantic)
43.539278657787015,53.136379475816376,0,0,33.273694657424414,Loggerhead turtle (NW Atlantic)
37.21065318168052,45.868196656629394,0,0,23.525445280703234,Loggerhead turtle (NW Atlantic)
35.60426117886751,44.994576660477435,0,0,5.936165257879713,Loggerhead turtle (NW Atlantic)
36.78269621811957,45.8783062602606,0,0,-12.55170729533042,Loggerhead turtle (NW Atlantic)
34.45266454691587,43.61024049534814,0,0,10.821482974624054,Loggerhead turtle (NW Atlantic)
35.28513456175905,44.01236647637148,0,0,30.110662527004234,Loggerhead turtle (NW Atlantic)
39.77254371985054,48.78609213470871,0,0,7.402607390299167,Loggerhead turtle (NW Atlantic)
39.29646438332873,48.405854394470545,0,0,-5.320954734613399,Loggerhead turtle (NW Atlantic)
38.619238275560434,47.396015588039646,0,0,26.457933295312575,Loggerhead turtle (NW Atlantic)
37.70009820650775,46.628820827566614,0,0,5.212385334368311,Loggerhead turtle (NW Atlantic)
39.036059103957314,47.901629411726276,0,0,22.745151105287807,Loggerhead turtle (NW Atlantic)
40.21869304979258,49.2229733532314,0,0,37.805882546912514,Loggerhead turtle (NW Atlantic)
38.87309335642423,47.66447673087146,0,0,17.616829320410808,Loggerhead turtle (NW Atlantic)
39.7016822445002,49.210180897678015,0,0,5.8014681878098475,Loggerhead turtle (NW Atlantic)
38.399936136812784,47.49990362407824,0,0,35.05832285383735,Loggerhead turtle (NW Atlantic)
37.85461109972682,46.74001086411275,0,0,32.496905395869035,Loggerhead turtle (NW Atlantic)
33.80126806990508,41.770441446587945,0,0,16.47396600944445,Loggerhead turtle (NW Atlantic)
37.670779205946765,46.965508884470765,0,0,-9.14244742987245,Loggerhead turtle (NW Atlantic)
33.54994968152373,42.46257193082665,0,0,-2.447973990106667,Loggerhead turtle (NW Atlantic)
40.141597839297795,49.108019437935766,0,0,5.785178920545001,Loggerhead turtle (NW Atlantic)
35.96235156170181,46.1152662017125,0.4635507000668281,0.14687377782551767,53.10399345186354,Loggerhead turtle (NW Atlantic)
38.871904710206785,47.870264382993014,0,0,-7.642843036202993,Loggerhead turtle (NW Atlantic)
37.74338945354014,46.48025230914997,0,0,16.139958402325426,Loggerhead turtle (NW Atlantic)
41.9501776242161,51.15774527473154,0,0,-34.96572342483675,Loggerhead turtle (NW Atlantic)
39.780802322654196,49.25793583753669,0,0,35.226830061892024,Loggerhead turtle (NW Atlantic)
40.87330434874536,49.71631944876959,0,0,-30.801564660110696,Loggerhead turtle (NW Atlantic)
38.97001168477382,47.80025821643205,0,0,27.889941953228913,Loggerhead turtle (NW Atlantic)
34.9000941163805,43.571177785960046,0,0,21.982562975103416,Loggerhead turtle (NW Atlantic)
34.66390982765438,43.33849646049164,0,0,11.742795777429123,Loggerhead turtle (NW Atlantic)
36.43590194244394,45.61767681685612,0,0,17.122679810994214,Loggerhead turtle (NW Atlantic)
38.15952328250005,47.03697066759021,0,0,-96.69829042679214,Loggerhead turtle (NW Atlantic)
34.785354229176626,44.474799029230574,0.20991293262459784,0.030941867686663332,48.15508577890634,Loggerhead turtle (NW Atlantic)
31.223826087239303,39.252853204266216,0,0,-5.938768584716876,Loggerhead turtle (NW Atlantic)
34.89869010935764,44.14233113584021,0.030757602136632874,0,39.69803068968611,Loggerhead turtle (NW Atlantic)
40.620909122375174,50.30195637017246,0,0,17.77259564003698,Loggerhead turtle (NW Atlantic)
37.8799649144362,47.116910831232175,0,0,-9.11778969733476,Loggerhead turtle (NW Atlantic)
35.52232185433111,44.22732512042931,0,0,11.428983697804638,Loggerhead turtle (NW Atlantic)
35.71408900843959,44.42081844813639,0,0,25.764893747775258,Loggerhead turtle (NW Atlantic)
41.39871654977238,51.42495667334272,0,0,15.752298699468959,Loggerhead turtle (NW Atlantic)
